Table S4. Coefficients for analytical approximation to the scattering factors
  in the 0 <= sin(theta)/lambda (STL) <= 2 reciprocal angstroms range using expansion (1) with m=4.
  DATE = 2022-07-29     TIME = 20:53:12
  
Atom     Method            a1            b1            a2            b2            a3            b3            a4            b4             c      Max.Err.  STL Mean.Err.
I(5+)       DHF        20.231932      4.339863     22.186696  3.132688E-01  5.090568E-01 -3.118427E-01      4.935321     16.417946  1.300622E-01     0.0073  0.15  0.0032
I(7+)       DHF        26.369976  5.356026E-01     19.657016      4.029433      4.912018      8.102018    -10.272493  9.891544E-01      5.332864     0.0011  2.00  0.0004
I(1-)       DHF         2.866990     85.161769     20.240580      4.361053     19.004466  3.814352E-01      7.816385     29.612237      4.066456     0.0376  2.00  0.0091
Xe(2+)      DHF        19.034395  3.460431E-01     20.242531      3.949256      8.444863     23.824895  5.314025E-01     61.304375      3.748723     0.0359  2.00  0.0083
Xe(4+)      DHF        20.319952  3.085648E-01      6.920423     20.073644     20.483832      3.941039  1.334071E-02 -8.459062E-01      2.250277     0.0128  0.14  0.0047
Xe(6+)      DHF        23.611890  2.685668E-01     20.481996      3.970070      4.973239     14.452219  7.200255E-01 -2.882673E-01     -1.792277     0.0054  0.16  0.0024
Xe(8+)      DHF        28.982064  5.237632E-01     20.155293      3.722292      4.747438      7.262223    -13.235776  8.929182E-01      5.350560     0.0008  2.00  0.0003
Cs(1+)      DHF     9.333695E-01     59.993887     19.137859  3.084644E-01     10.299095     23.776281     20.360796      3.554613      3.271332     0.0363  2.00  0.0087
Ba(2+)      DHF        20.411361      3.220192     19.333363  2.743527E-01  3.656865E-01     63.620258     11.166975     20.937276      2.725007     0.0345  2.00  0.0085
La(2+)      DHF        19.670963  2.418091E-01     20.651807      2.943902     11.551295     19.309271      1.090944     60.118288      2.036717     0.0325  2.00  0.0081
La(3+)      DHF        20.930486      2.858155     11.881047     18.492112     28.632163  1.461535E-01  1.119542E-01 -5.863202E-01     -7.574418     0.0196  0.15  0.0059
Ce(2+)      DHF        19.690321  2.327752E-01     11.650577     17.615852      1.155782     41.208646     21.439350      2.885982      2.065701     0.0240  2.00  0.0054
Ce(3+)      DHF        19.895355  2.224758E-01     21.047795      2.784763  3.039387E-01     52.013075     12.089630     17.068289      1.665297     0.0270  2.00  0.0064
Ce(4+)      DHF       227.880014 -1.233002E-01     21.219334      2.562018   -300.000000 -1.046018E-01     12.304813     16.034404     92.582595     0.0138  0.16  0.0045
Pr(2+)      DHF        19.876680  2.155647E-01     22.005816      2.747214     11.631445     16.143968      1.735627     35.286137      1.751587     0.0194  2.00  0.0041
Pr(3+)      DHF        21.652626      2.659530  5.951174E-01     39.892210     12.311830     15.858214     20.121502  2.058287E-01      1.320781     0.0219  2.00  0.0050
Pr(4+)      DHF        25.737906  1.385003E-01     12.624006     15.315877  3.598810E-03     -1.124061     21.536132      2.512557     -4.917193     0.0162  0.16  0.0052
Nd(2+)      DHF        20.059319  2.003096E-01      2.395556     31.152445     11.504340     14.801072     22.588639      2.621060      1.452647     0.0154  2.00  0.0030
Nd(3+)      DHF        22.267157      2.543968     20.347163  1.909691E-01      1.051024     32.536679     12.350848     14.689553  9.853295E-01     0.0174  2.00  0.0038
Pm(3+)      DHF        20.564898  1.777423E-01     22.885883      2.436605     12.210906     13.569994      1.673422     27.789280  6.659684E-01     0.0137  2.00  0.0028
Sm(2+)      DHF        20.371629  1.751203E-01     23.781239      2.398843     11.204409     12.537712      3.700828     25.949482  9.410485E-01     0.0088  2.00  0.0016
Sm(3+)      DHF        23.505604      2.336523     20.764481  1.660496E-01     11.950879     12.520240      2.406408     24.585577  3.732138E-01     0.0105  2.00  0.0020
Eu(2+)      DHF        24.385428      2.300459     11.127916     11.616248     20.472670  1.650537E-01      4.254206     24.237183  7.582959E-01     0.0062  2.00  0.0013
Eu(3+)      DHF        20.932265  1.558359E-01     11.661678     11.562838      3.159910     22.334404     24.124735      2.243113  1.214961E-01     0.0078  2.00  0.0014
Gd(1+)      DHF        13.806654     12.619027     25.026632      2.226438     19.582355  1.712286E-01      2.807898     69.616392      1.757499     0.0210  0.08  0.0070
Gd(2+)      DHF        24.984002      2.186391     20.531896  1.547889E-01     12.917708     11.841786      2.990449     33.073250  5.684061E-01     0.0079  0.10  0.0026
Gd(3+)      DHF         3.855907     20.686421     21.050994  1.470797E-01     24.742724      2.155937     11.420766     10.711531 -7.078821E-02     0.0055  2.00  0.0010
Tb(1+)      DHF        18.659286  1.842886E-01     25.861231      2.213877     14.323125     12.359518      2.173030     73.952755      2.962698     0.0236  0.17  0.0091
Tb(3+)      DHF        25.359310      2.074629     11.268234      9.967756      4.453118     19.429763     21.100061  1.397887E-01 -1.815675E-01     0.0037  2.00  0.0008
Tb(4+)      DHF        12.034592      9.992144      3.186224     18.494366     21.897801  1.289073E-01     25.069243      2.018157     -1.187790     0.0050  2.00  0.0008
Dy(2+)      DHF        26.213706      2.047576     20.333879  1.448566E-01     11.313681      9.546174      5.396515     20.835261  7.391224E-01     0.0033  0.13  0.0013
Dy(3+)      DHF        25.974590      1.998868      4.941625     18.435081     21.057882  1.339845E-01     11.212353      9.324309 -1.876979E-01     0.0021  2.00  0.0007
Ho(3+)      DHF        20.904165  1.297029E-01     11.243726      8.769375     26.588418      1.928344      5.329229     17.621721 -6.714356E-02     0.0017  0.14  0.0008
Er(3+)      DHF        20.623443  1.269904E-01     27.200201      1.862755      5.630228     16.938330     11.346716      8.290004  1.974920E-01     0.0020  0.14  0.0009
Tm(2+)      DHF        19.216737  1.403173E-01     28.040551      1.847593      5.938750     18.754349     11.932547      8.203601      1.867185     0.0044  0.13  0.0020
Tm(3+)      DHF        27.808983      1.801809     20.209184  1.258976E-01     11.505404      7.874150      5.859415     16.351421  6.148243E-01     0.0023  0.14  0.0011
Yb(2+)      DHF        28.640954      1.790826     18.624490  1.425118E-01     12.188675      7.862311      6.030027     18.220805      2.511338     0.0047  0.14  0.0022
Yb(3+)      DHF        19.666960  1.264740E-01     28.413522      1.745229      6.029801     15.838514     11.705795      7.511429      1.181504     0.0025  0.14  0.0012
Lu(3+)      DHF        29.011862      1.692755     11.936415      7.193019     19.014774  1.287726E-01      6.152226     15.383992      1.882112     0.0027  0.15  0.0014
Hf(2+)      DHF        15.799090  1.870498E-01     14.728077      8.585673     29.710866      1.708968      3.763653     28.959638      5.983581     0.0154  0.11  0.0062
Hf(3+)      DHF        17.035843  1.525680E-01     29.646897      1.658131     14.149651      7.829687      3.968016     20.597562      4.192031     0.0079  0.13  0.0033
Hf(4+)      DHF        29.378935      1.601921      6.030621     13.452529     11.919889      6.692441     19.434726  1.164899E-01      1.234166     0.0017  0.16  0.0009
Ta(2+)      DHF        30.079690      1.636690     14.773786      8.335727     15.264986  1.915895E-01      4.314145     28.294525      6.553223     0.0148  0.12  0.0061
Ta(3+)      DHF        30.092919      1.594227     16.233944  1.595343E-01     14.437211      7.742727      4.170782     21.969729      5.057073     0.0085  0.13  0.0037
Ta(4+)      DHF        29.988691      1.558202      4.192955     17.004133     13.936705      7.155058     17.560200  1.332907E-01      3.317109     0.0045  0.14  0.0020
Ta(5+)      DHF        19.989637  1.045291E-01     29.733117      1.516400     12.045380      6.280425      5.784155     11.996745  4.466212E-01     0.0012  2.00  0.0006
W(1+)       DHF        14.193703  2.635579E-01     29.766566      1.643641     15.353088      8.723436      4.754846     41.492019      8.903809     0.0298  0.10  0.0113
W(2+)       DHF        14.777372  1.950258E-01     30.405375      1.564084     14.879804      8.113484      4.874178     26.931310      7.049747     0.0142  0.12  0.0059
W(3+)       DHF        15.644900  1.622498E-01     30.489725      1.525240     14.567616      7.583979      4.657389     21.798339      5.632362     0.0084  0.13  0.0037
W(4+)       DHF        16.761046  1.373339E-01     30.451770      1.494894     14.271110      7.105217      4.392961     17.952756      4.118336     0.0050  0.14  0.0023
W(5+)       DHF        18.211600  1.162037E-01     30.320919      1.467762     13.860408      6.621021      4.263034     14.591807      2.341401     0.0028  0.15  0.0013
W(6+)       DHF        20.784042  9.246477E-02     30.070944      1.435534     12.275474      5.922909      5.459017     10.843397 -5.901927E-01     0.0008  0.17  0.0004
Re(1+)      DHF        29.780128      1.580074     15.635228      8.552579      5.158198     38.136970     13.933177  2.793151E-01      9.465284     0.0295  0.10  0.0112
Re(2+)      DHF        15.100722      7.923620     30.688141      1.492181     14.315281  1.978046E-01      5.383425     25.458279      7.499613     0.0135  0.12  0.0056
Re(3+)      DHF        30.849812      1.455511     14.759065      7.432371      5.161782     21.113146     15.130913  1.630920E-01      6.090662     0.0082  0.13  0.0036
Re(4+)      DHF        16.201088  1.374332E-01     30.871450      1.427978      4.842564     17.898448     14.473141      6.998526      4.606942     0.0051  0.14  0.0023
Re(5+)      DHF        30.796662      1.405315     17.492733  1.173422E-01      4.478388     15.275149     14.225046      6.591945      3.004220     0.0031  0.15  0.0015
Re(6+)      DHF        19.126612  9.994077E-02     30.642873      1.384305      4.224170     12.824935     13.896643      6.176000      1.108048     0.0017  0.16  0.0008
Re(7+)      DHF        30.391409      1.358999     12.586425      5.601624     21.973846  8.007380E-02      5.082160      9.901381     -2.034306     0.0005  0.17  0.0003
Os(1+)      DHF        13.772818  2.969021E-01     29.665053      1.518800     16.068305      8.403241      5.475220     35.408215      9.990954     0.0289  0.11  0.0110
Os(2+)      DHF        13.874674  1.995234E-01     30.934756      1.420907      5.825486     24.051923     15.456151      7.753941      7.896863     0.0126  0.12  0.0053
Os(3+)      DHF        31.181710      1.385823     14.669744  1.621224E-01      5.620528     20.275202     15.068535      7.294125      6.452056     0.0078  0.13  0.0035
Os(4+)      DHF         5.302713     17.480111     14.747380      6.890355     15.767896  1.349158E-01     31.263935      1.360256      4.913373     0.0050  0.14  0.0023
Os(5+)      DHF        31.237932      1.340123     14.494226      6.518239     17.086610  1.143765E-01      4.900387     15.255086      3.277848     0.0032  0.15  0.0015
Os(6+)      DHF        18.620292  9.807484E-02     31.131004      1.322946      4.458085     13.335614     14.287770      6.160001      1.500983     0.0020  0.16  0.0009
Os(7+)      DHF        20.526427  8.379230E-02     30.954271      1.306576     14.026156      5.791253      4.105795     11.460727 -6.137020E-01     0.0011  0.17  0.0005
Os(8+)      DHF        23.838703  6.721493E-02     30.694933      1.286590      4.676156      9.114684     12.956092      5.305705     -4.166185     0.0003  0.18  0.0002
Ir(1+)      DHF        29.405940      1.459741     16.645830      8.255977     13.728851  3.161782E-01      5.716159     33.140016     10.476116     0.0284  0.11  0.0107
Ir(2+)      DHF        13.450105  1.995712E-01     31.158933      1.350096      6.199774     22.757671     15.948265      7.591307      8.231607     0.0119  0.13  0.0050
Ir(3+)      DHF        31.499648      1.316258     15.512611      7.161856      6.016517     19.416711     14.264473  1.587352E-01      6.699714     0.0074  0.14  0.0033
Ir(4+)      DHF        15.469753  1.294256E-01     31.643801      1.292303     15.145332      6.784921      5.715472     16.932293      5.021131     0.0047  0.14  0.0022
Ir(5+)      DHF        16.946452  1.078782E-01     31.663610      1.274113     14.850385      6.438320      5.320353     14.969182      3.216268     0.0031  0.15  0.0014
Ir(6+)      DHF        18.628888  9.159142E-02     31.595151      1.259359      4.854637     13.327117     14.623671      6.108288      1.295752     0.0020  0.16  0.0010
Pt(2+)      DHF        16.568315      7.425917     13.032961  1.972950E-01     31.380345      1.279698      6.513129     21.577336      8.494663     0.0111  0.13  0.0047
Pt(4+)      DHF        32.030898      1.224269     15.678058      6.676951     15.379796  1.200025E-01      6.066697     16.347401      4.840274     0.0045  0.15  0.0020
Pt(5+)      DHF        32.092964      1.207751     15.336087      6.354498      5.688715     14.579838     17.224831  9.703981E-02      2.654594     0.0030  0.15  0.0014
Pt(6+)      DHF        32.056744      1.194956     15.061568      6.047347     19.346459  8.040822E-02      5.235173     13.118068  2.982019E-01     0.0019  0.16  0.0009
Au(1+)      DHF        30.511687      1.262755     12.597301  2.657461E-01      6.763072     24.355527     17.875018      7.701479     10.236356     0.0173  0.12  0.0069
Au(2+)      DHF         6.775837     20.499383     31.622215      1.209816     17.301112      7.252120     12.614093  1.920595E-01      8.676837     0.0104  0.13  0.0044
Au(3+)      DHF        32.179716      1.177662     13.721402  1.409940E-01     16.787022      6.884077      6.627289     17.796701      6.678344     0.0065  0.14  0.0029
Au(5+)      DHF        32.548127      1.141290     15.955641      6.262755     18.408805  8.045202E-02      5.995888     14.153058      1.088885     0.0028  0.15  0.0013
Hg(1+)      DHF        14.702859  3.903128E-01     19.070495      7.744259     27.361878      1.305322      6.105020     28.075941     11.734670     0.0259  0.12  0.0100
Hg(2+)      DHF        31.909638      1.140656     18.128865      7.067949      6.998984     19.509887     12.189488  1.831949E-01      8.763732     0.0097  0.14  0.0041
Tl(1+)      DHF        18.540465  4.887699E-01     23.170577      1.373865     19.482722      7.518981      6.345065     29.692529     12.434668     0.0276  0.11  0.0112
Tl(3+)      DHF        33.082907      1.041166     14.426496  1.001159E-01      7.059325     16.350072     18.474149      6.564240      4.951612     0.0058  0.15  0.0025
Pb(2+)      DHF        24.217000      1.235724     17.017048  4.481170E-01     19.860300      6.828695      6.562149     24.441011     12.326006     0.0183  0.13  0.0079
Pb(4+)      DHF        34.084002  9.565471E-01     97.249443  9.016811E-03     18.921618      6.142061      6.974596     14.113692    -79.233009     0.0035  0.15  0.0015
Bi(3+)      DHF        15.734604  4.151514E-01     25.083230      1.125803     20.213528      6.267152      6.703453     20.804088     12.252978     0.0130  2.00  0.0058
Bi(5+)      DHF        34.910469  8.832869E-01     19.469050      5.776055     -5.008748 -9.682690E-02      6.765136     12.444668     21.862051     0.0021  0.16  0.0009
Po(2+)      DHF        31.286792  6.421624E-01     10.900217      1.970703      6.822561     30.413291     19.629452      6.680842     13.338385     0.0318  2.00  0.0108
Po(4+)      DHF        25.830220      1.034010     20.546267      5.791025     14.600251  3.877587E-01      6.805177     18.095191     12.209259     0.0098  2.00  0.0043
Po(6+)      DHF        35.547324  8.195150E-01     20.108050      5.451516      6.447041     11.153241     -1.051548 -2.249810E-01     16.947914     0.0013  0.17  0.0005
At(1+)      DHF        34.737942  6.728500E-01     14.556053      3.338547     13.197501      8.061077      7.872858     36.154415     13.611817     0.0476  2.00  0.0126
At(3+)      DHF        31.778361  6.246628E-01     19.879552      6.029778      9.777824      1.879806      7.223235     25.332764     13.325202     0.0239  2.00  0.0080
At(5+)      DHF        13.601865  3.656951E-01     20.858144      5.377900     26.451112  9.558140E-01      6.885374     15.980722     12.196958     0.0075  2.00  0.0033
At(7+)      DHF        35.991640  7.640037E-01     20.827498      5.159491 -2.536319E-01 -3.854564E-01      6.033659     10.129311     15.400152     0.0007  2.00  0.0004
At(1-)      DHF        35.703902  6.957416E-01     21.415309      4.383292      6.266400     64.533581      8.788044     16.709963     13.787029     0.0764  2.00  0.0194
Fr(1+)      DHF        21.689395      3.875508     35.533581  6.352061E-01      7.874916     34.826149      7.280670     13.441647     13.611404     0.0382  2.00  0.0078
Ra(2+)      DHF        35.487572  6.082684E-01     22.170192      3.694274      7.568860     29.406460      7.237715     13.776204     13.530665     0.0269  2.00  0.0048
Ac(3+)      DHF        35.413348  5.820678E-01     22.542932      3.507379      8.541673     14.589914      6.057814     26.449295     13.442247     0.0180  2.00  0.0027
Th(2+)      DHF        12.528438     16.738692      3.345948     45.634618     23.095172      3.456790     35.615552  5.628353E-01     13.407547     0.0152  2.00  0.0033
Th(3+)      DHF         4.990964     27.317650     35.518284  5.605811E-01     22.639081      3.384366     10.468153     14.648969     13.381847     0.0127  2.00  0.0018
Th(4+)      DHF         3.312238     25.864801     11.272629     15.103996     35.303423  5.563630E-01     22.768578      3.312006     13.342842     0.0107  2.00  0.0012
Pa(3+)      DHF        35.630955  5.401222E-01     22.672185      3.269945     11.509838     14.033559      4.865226     26.819823     13.320266     0.0087  2.00  0.0012
Pa(4+)      DHF        35.420610  5.360960E-01     22.757064      3.197781     12.092028     14.267545      3.449607     25.152181     13.280468     0.0069  2.00  0.0007
Pa(5+)      DHF        13.497393     14.739422     22.888759      3.114507      1.221936     27.822273     35.160723  5.311760E-01     13.231738     0.0048  2.00  0.0010
U(3+)       DHF        35.752599  5.206934E-01     22.699686      3.167477     12.267852     13.279575      5.019805     25.846940     13.258542     0.0058  2.00  0.0008
U(4+)       DHF         3.824010     23.999345     22.748591      3.096307     35.548000  5.168783E-01     12.660743     13.376778     13.218390     0.0042  2.00  0.0005
U(5+)       DHF        35.299537  5.123262E-01     22.848683      3.016300     13.886951     13.721354      1.794560     25.039217     13.170732     0.0024  2.00  0.0008
U(6+)       DHF        22.952169      2.921299     34.991194  5.065845E-01     14.526783     13.814586  4.221012E-01     31.904063     13.108621     0.0030  1.00  0.0014
Np(3+)      DHF        22.739926      3.075973     35.879880  5.022061E-01      5.275697     24.751225     12.905860     12.520568     13.197056     0.0036  2.00  0.0007
Np(4+)      DHF        13.126949     12.519704     22.754587      3.005897     35.681536  4.986007E-01      4.279844     22.788050     13.156713     0.0023  2.00  0.0004
Np(5+)      DHF        35.444528  4.943993E-01     22.824414      2.928928     14.146514     12.759646      2.474549     22.828115     13.110324     0.0014  1.34  0.0007
Np(6+)      DHF        35.156466  4.892489E-01     22.908051      2.840309     15.053864     12.911163  8.303084E-01     26.193404     13.052078     0.0025  1.03  0.0012
Np(7+)      DHF        15.073898     12.755782     34.799699  4.826629E-01     22.990494      2.736216  1.628260E-01     37.739654     12.973985     0.0040  1.02  0.0019
Pu(3+)      DHF        22.805714      2.994217     36.009954  4.845554E-01      5.555785     23.679113     13.491801     11.807170     13.135059     0.0021  2.00  0.0006
Pu(4+)      DHF        35.818111  4.811501E-01      4.739471     21.660763     22.785088      2.925118     13.562265     11.732341     13.094558     0.0009  2.00  0.0004
Pu(5+)      DHF        35.592194  4.772724E-01     14.347968     11.878385      3.187406     21.105395     22.823167      2.850752     13.049441     0.0013  1.38  0.0006
Pu(6+)      DHF         1.430366     22.569742     15.369226     12.040486     35.322417  4.726391E-01     22.883897      2.767342     12.994717     0.0020  1.06  0.0010
Pu(7+)      DHF        15.741804     12.001314     34.994879  4.668696E-01     22.948561      2.671617  3.918569E-01     28.136323     12.923759     0.0034  2.00  0.0015
Am(2+)      DHF        36.304188  4.708445E-01     23.074450      2.990516      5.811171     26.417465     14.689318     11.600315     13.116460     0.0047  0.11  0.0016
Am(3+)      DHF        22.903680      2.920809     36.140029  4.676648E-01      5.827674     22.680595     14.054267     11.153547     13.072534     0.0019  0.12  0.0007
Am(4+)      DHF        35.954847  4.644476E-01      5.169468     20.649228     22.845601      2.852537     13.997586     11.022068     13.031839     0.0007  0.12  0.0004
Am(5+)      DHF        35.739591  4.608656E-01     22.849368      2.780357     14.549905     11.085800      3.873220     19.743369     12.987928     0.0012  1.42  0.0005
Am(6+)      DHF        35.486335  4.566837E-01     22.883275      2.701167     15.519278     11.221012      2.175207     20.143892     12.936362     0.0019  2.00  0.0008
Cm(3+)      DHF        23.039346      2.854574     36.268011  4.514689E-01     14.606953     10.562607      6.074443     21.770446     13.009292     0.0021  0.12  0.0007
Cm(4+)      DHF        36.089617  4.484268E-01     22.941209      2.787002     14.447928     10.387943      5.552110     19.753181     12.968320     0.0009  0.12  0.0005
Bk(3+)      DHF        15.155192     10.032239     23.217879      2.794526     36.392356  4.359080E-01      6.287567     20.948441     12.944911     0.0022  0.12  0.0008
Bk(4+)      DHF        23.077060      2.727571     14.918086      9.825133     36.220872  4.330281E-01      5.879464     18.961586     12.903550     0.0010  0.13  0.0005
Cf(2+)      DHF        36.662155  4.238427E-01     23.738944      2.809414     16.298550      9.979893      6.366840     23.288637     12.928979     0.0048  0.12  0.0018
Cf(3+)      DHF        23.443062      2.739777     36.511881  4.209345E-01      6.464597     20.207574     15.699118      9.557297     12.879116     0.0024  0.13  0.0009
Cf(4+)      DHF        23.257175      2.673408     15.405771      9.326201     36.347428  4.182044E-01      6.151292     18.259899     12.837220     0.0012  0.13  0.0006
Es(2+)      DHF        36.770453  4.093467E-01     24.060214      2.759038      6.485460     22.469473     16.815033      9.547454     12.864255     0.0048  0.12  0.0018
Es(3+)      DHF        23.717129      2.689527     36.625733  4.065141E-01      6.606538     19.538781     16.236371      9.131482     12.811880     0.0025  0.13  0.0010
Fm(2+)      DHF        36.872108  3.953781E-01     17.316569      9.158483     24.434274      2.712354      6.574206     21.735773     12.798205     0.0049  0.12  0.0019
Fm(3+)      DHF        24.042247      2.643093     36.733395  3.926129E-01     16.763628      8.749087      6.715290     18.933520     12.742978     0.0026  0.13  0.0010
Md(2+)      DHF        36.966859  3.819149E-01     17.800153      8.807312      6.636098     21.075264     24.861260      2.668727     12.730947     0.0049  0.13  0.0019
Md(3+)      DHF         6.793952     18.383748     24.419150      2.599864     36.834589  3.792082E-01     17.277285      8.404485     12.672462     0.0027  0.13  0.0011
No(2+)      DHF        25.341153      2.627620     37.054649  3.689349E-01     18.262991      8.489155      6.674026     20.477809     12.662455     0.0050  0.13  0.0020
No(3+)      DHF        24.848443      2.559315     36.929250  3.662766E-01     17.773863      8.092905      6.845560     17.882577     12.600235     0.0028  0.13  0.0012
Lr(3+)      DHF         6.873243     17.424010     25.330054      2.520987     37.017475  3.537987E-01     18.250248      7.810118     12.526255     0.0029  0.14  0.0012
Rf(4+)      DHF        18.367117      7.272691     36.979700  3.396676E-01      6.867948     15.303641     25.383252      2.423045     12.400256     0.0018  0.14  0.0008
Db(5+)      DHF        25.464334      2.330784     36.939690  3.263314E-01     18.557800      6.817683      6.757408     13.695245     12.279623     0.0012  0.15  0.0006
Sg(6+)      DHF        36.897629  3.137037E-01      6.591188     12.410888     25.555809      2.243110     18.791625      6.417883     12.162969     0.0008  0.16  0.0004
Bh(7+)      DHF        25.648755      2.159559     36.854117  3.017325E-01      6.397136     11.350068     19.049611      6.058898     12.049840     0.0006  2.00  0.0003
Hs(8+)      DHF        36.809839  2.903885E-01     25.737595      2.079926     19.319230      5.732101      6.192318     10.452544     11.940638     0.0006  2.00  0.0002
Cn(2+)      DHF        32.972605      2.006167      8.966134     22.648037     19.344193      8.126685     36.255291  2.646877E-01     12.449931     0.0124  0.13  0.0054
 
