Table S5. Coefficients for analytical approximation to the scattering factors 
  in the 0 <= sin(theta)/lambda (STL) <= 2 reciprocal angstroms range using expansion (1) with m=5.
  DATE = 2022-07-29     TIME = 20:35:31
  
Atom     Method            a1            b1            a2            b2            a3            b3            a4            b4            a5            b5             c      Max.Err.  STL Mean.Err.
 
P(5+)       DHF         3.642453      2.208798      1.236502      3.852110      3.262174      1.164273  9.160067E-02      6.582542      1.303223  1.098484E-01  4.640474E-01     0.0000  2.00  0.0000
S(1+)       DHF         6.305779      1.639442      4.335416     18.246461      2.006702  5.160737E-01      1.707598     39.209630 -5.036698E-01      5.620572      1.147511     0.0010  2.00  0.0003
S(2+)       DHF         6.313357      1.614464      3.775331     15.781476      1.919045  4.991167E-01      1.431645     31.243449 -5.796554E-01      7.107326      1.139991     0.0008  2.00  0.0002
S(3+)       DHF         6.293500      1.607987     49.919982     11.469340      1.243192     25.082672      1.887349  4.949205E-01    -47.483226     11.303790      1.139074     0.0008  2.00  0.0002
S(4+)       DHF         1.988448  5.296881E-01      6.156457      1.634842      2.483976     13.965969  2.079779E-01     27.371028 -2.361093E-09     -3.520671      1.163270     0.0003  0.75  0.0001
S(5+)       DHF         4.098510      2.030643  2.321871E-01     20.041418      3.775400  9.942932E-01      1.227346     11.973598      2.830481  3.083013E-02     -1.163920     0.0000  2.00  0.0000
S(6+)       DHF         1.249163  1.058763E-01      3.516489      1.017592      3.575823      1.918926      1.059334      3.302323  6.617828E-02      5.547613  5.330125E-01     0.0000  2.00  0.0000
Cl(1+)      DHF         6.309578      1.534920      1.968231     33.170049      5.203684     15.323063      2.615688  5.422622E-01     -1.287538      3.236813      1.189571     0.0009  0.10  0.0003
Cl(2+)      DHF         1.635265     27.339506      6.239166      1.426848      4.606058     13.789090      2.224625  4.890350E-01 -8.712612E-01      4.002650      1.165811     0.0004  2.00  0.0002
Cl(3+)      DHF         3.946914     12.340164      6.272712      1.385845      1.321402     23.012854      2.039225  4.600491E-01 -7.319258E-01      4.576205      1.151516     0.0003  2.00  0.0001
Cl(4+)      DHF         3.255171     10.825529      1.053171     19.423983      6.277019      1.366725      1.936915  4.439379E-01 -6.660929E-01      5.430563      1.143740     0.0002  2.00  0.0001
Cl(5+)      DHF         1.944832  4.497500E-01  7.430370E-01     16.357335      6.216535      1.374016     50.036487      8.375360    -48.089918      8.296935      1.149013     0.0003  2.00  0.0000
Cl(6+)      DHF         4.718777      1.624738  2.352177E-01     15.813094      3.342893  7.442150E-01      1.259370      9.573615 -1.058606E-01 -1.922803E-01      1.549603     0.0000  2.00  0.0000
Cl(7+)      DHF         3.750066  8.973885E-01      3.490374      1.683645      1.203387  1.031957E-01  9.101902E-01      2.867943  4.839477E-02      4.755332  5.975875E-01     0.0000  2.00  0.0000
Cl(1-)      DHF         6.386120     18.827512    300.000000      1.777411      2.571814     57.562451      2.306378  4.683966E-01   -294.405241      1.787530      1.133289     0.0082  0.08  0.0019
K(1+)       DHF         6.932348     10.977792    300.000000      1.576987      3.419928  4.673257E-01      2.592056     24.247053   -296.134171      1.588943      1.188640     0.0013  0.12  0.0004
Ca(2+)      DHF         2.512859     18.252696      3.413342  4.012859E-01      7.238924      8.864825   -296.322850      1.399776    300.000000      1.388238      1.157059     0.0007  0.13  0.0003
Sc(1+)      DHF         7.591425  6.115805E-01      8.254877      7.330996      1.443808     80.615498      2.657138     16.869457     -1.385198      3.164476      1.435682     0.0032  2.00  0.0010
Sc(2+)      DHF         4.897523     13.047444      7.556226  6.094011E-01  4.807095E-01     35.209585    300.000000      5.045430   -295.367351      5.009629      1.432658     0.0030  2.00  0.0005
Sc(3+)      DHF         7.533099      7.335204     78.896134      1.180296      2.411142     14.396923    -74.968604      1.224031      3.074160  3.075338E-01      1.053668     0.0004  0.15  0.0002
Ti(2+)      DHF         7.580641  5.442339E-01     -2.721516      3.189430      7.974074      5.434948  7.246245E-01     31.764140      5.010434     11.903724      1.431304     0.0012  2.00  0.0003
Ti(3+)      DHF         7.591158  5.413015E-01   -296.174233      4.001337    300.000000      4.029913  5.601631E-01     21.941742      5.597532      9.820866      1.425284     0.0011  2.00  0.0002
Ti(4+)      DHF        44.331488  9.822633E-01    -39.751988      1.061802      7.807989      6.187582      2.295985     11.732992      2.692785  1.678518E-01  6.234895E-01     0.0003  0.16  0.0001
V(1+)       DHF         7.922015  5.103973E-01      8.765299      6.069331      4.073791     14.936624      1.013061     46.555437     -1.252425      1.499224      1.476914     0.0015  0.09  0.0006
V(2+)       DHF         7.979827      5.444972      7.665699  4.939631E-01  7.896866E-01     30.111022     -1.472831      2.093368      4.594618     11.683347      1.442598     0.0007  2.00  0.0002
V(3+)       DHF         7.620630  4.874608E-01      7.489794      4.648100  6.876767E-01     21.220748     -2.561555      2.536154      5.336677      9.369297      1.426612     0.0005  2.00  0.0001
V(4+)       DHF         7.623987  4.832880E-01    300.000000      3.321032   -296.826442      3.297773  6.792546E-01     15.604545      6.106861      7.743338      1.416278     0.0003  2.00  0.0001
V(5+)       DHF         7.671918  4.814036E-01    300.000000      3.179192  5.432508E-01     12.419825   -297.318052      3.157237      5.691022      7.029365      1.411872     0.0003  2.00  0.0000
Cr(1+)      DHF         4.370323     13.672672      9.306462      5.485834     10.994760  5.293635E-01      1.099317     41.463299     -4.337841  8.219980E-01      1.565600     0.0015  0.09  0.0006
Cr(2+)      DHF         4.635061     11.071941      7.874355  4.574648E-01  8.670073E-01     28.025234     -1.442139      1.456279      8.594519      5.067916      1.470785     0.0005  2.00  0.0002
Cr(3+)      DHF         7.710996  4.457522E-01  7.043972E-01     20.748133      4.895143      9.244095      7.940230      4.631943     -1.691961      1.790086      1.441041     0.0003  2.00  0.0001
Cr(4+)      DHF         7.344214      4.134352      7.674599  4.396988E-01  6.265432E-01     15.951817     -2.344575      2.025672      5.275114      7.799600      1.424037     0.0002  2.00  0.0000
Cr(5+)      DHF         7.670435  4.347805E-01      5.988670      6.541308      7.970745      3.403157  6.783649E-01     12.317901     -4.718143      2.322541      1.409894     0.0001  2.00  0.0000
