Table S5. Coefficients for analytical approximation to the scattering factors 
  in the 0 <= sin(theta)/lambda (STL) <= 2 reciprocal angstroms range using expansion (1) with m=5.
  DATE = 2022-07-29     TIME = 20:35:31
  
Atom     Method            a1            b1            a2            b2            a3            b3            a4            b4            a5            b5             c      Max.Err.  STL Mean.Err.
 
Rh(2+)      DHF       300.000000  4.312244E-01      4.341807     22.057419     14.282256      7.932747   -278.303099 -6.815837E-03   -297.326233  3.951802E-01    300.000000     0.0055  0.13  0.0021
Rh(3+)      DHF        13.879848      7.478992    300.000000      1.052809      4.064218     18.681400 -1.279138E-01 -3.960816E-01   -282.098364      1.074311      6.279395     0.0030  0.13  0.0012
Rh(4+)      DHF        -1.182981 -1.429356E-01     13.494278      7.087169     60.994711      1.058334    -43.840393      1.198237      3.692478     16.254839      7.840389     0.0016  0.14  0.0007
Rh(5+)      DHF        42.409844  8.535595E-03      3.286369     14.361937    288.376077      1.154633   -272.024875      1.182511     13.116429      6.715161    -35.164673     0.0009  0.15  0.0004
Rh(6+)      DHF        52.317812      1.114838     12.729485      6.350260      6.123464  8.781059E-02      2.876367     12.794313    -36.598093      1.302711      1.550510     0.0005  0.15  0.0002
Pd(2+)      DHF        15.175214      7.428351     45.258504  4.550547E-01      4.631391     20.444111    -99.046691  1.300208E-01   -222.023843 -2.154193E-02    300.000000     0.0057  0.13  0.0021
Pd(4+)      DHF       300.000000      1.018050      4.001717     15.328274     14.360889      6.684208   -282.580467      1.041962 -1.641251E-01 -3.508815E-01      6.380375     0.0017  0.15  0.0007
Ag(1+)      DHF       300.000000      4.680762     19.675868  6.651560E-01   -288.950661      4.614735      1.672865     33.836063      8.317670     13.541635      5.283608     0.0084  2.00  0.0012
Ag(2+)      DHF       300.000000      4.605142     19.666584  6.647190E-01      1.222377     28.591537   -289.138671      4.540178      7.967891     12.725280      5.281818     0.0084  2.00  0.0011
Ag(3+)      DHF       300.000000  9.034383E-01     15.670641      6.606019      4.654491     16.376800   -282.012378  9.238792E-01 -1.134842E-03     -1.161140      5.685303     0.0032  0.14  0.0013
Cd(2+)      DHF        19.842371  6.259279E-01    300.000000      4.050964      1.677794     24.841947   -290.032136      3.987579      9.259961     10.989735      5.251742     0.0047  2.00  0.0006
In(1+)      DHF        17.241070      5.486389     20.776269  6.051922E-01      2.396830     48.530992      5.702311     14.867687     -3.389452      1.683217      5.270113     0.0037  2.00  0.0013
In(2+)      DHF        20.235277  5.948166E-01      6.902659     12.285288     -4.008000      2.198489      1.693857     37.385310     16.937201      5.109480      5.237606     0.0029  2.00  0.0008
In(3+)      DHF        20.009442  5.898140E-01     10.122648      9.191317      1.697732     19.419489    300.000000      3.566738   -291.049684      3.507156      5.219717     0.0025  2.00  0.0003
Sn(2+)      DHF        17.770470      4.945296     21.184035  5.751207E-01      2.540396     36.166985     -4.305244      1.552478      5.555135     12.711924      5.253608     0.0023  2.00  0.0008
Sn(4+)      DHF       300.000000      3.180045     20.174786  5.565112E-01      1.729225     15.789779   -292.002247      3.124451     10.910260      7.855180      5.187879     0.0012  2.00  0.0002
Sb(3+)      DHF         5.293613     11.261698     21.774543  5.496192E-01     18.350016      4.512591      2.629549     28.789010     -5.293824      1.395194      5.245132     0.0015  2.00  0.0005
Sb(5+)      DHF       300.000000      2.864375      1.758287     13.210978     20.336003  5.257310E-01     11.619898      6.831343   -292.870633      2.812514      5.156374     0.0006  2.00  0.0001
Te(2+)      DHF       300.000000  6.853058E-01     19.881614      4.394735      4.163842     15.422305      3.811402     37.033303   -283.264389  7.059525E-01      5.405167     0.0026  0.10  0.0011
Te(4+)      DHF         2.673766     23.848524      4.992068     10.225063     22.598877  5.282664E-01     -6.456961      1.242828     18.946987      4.147654      5.244648     0.0010  2.00  0.0003
Te(5+)      DHF         1.710843     20.781108     21.392227  5.125916E-01      6.177961      8.535321     -5.974888      1.495253     18.501572      3.996586      5.191943     0.0007  2.00  0.0002
Te(6+)      DHF        20.495541  4.973097E-01     65.185526      2.697992      1.762468     11.314040    -58.768439      2.463694     12.199128      6.038219      5.125722     0.0003  2.00  0.0000
I(1+)       DHF       300.000000  6.502998E-01      5.403932     19.814879     20.712016      4.035588      4.109237     43.174503   -283.590742  6.707988E-01      5.362705     0.0031  0.09  0.0013
I(3+)       DHF         3.811069     29.786462    300.000000  6.584667E-01     20.361680      3.989847      4.151198     14.291315   -283.730266  6.797638E-01      5.405009     0.0014  0.11  0.0007
I(5+)       DHF         4.709875      9.447815     19.530123      3.828720     -7.939403      1.103511      2.675796     20.302867     23.770930  5.109866E-01      5.252280     0.0007  2.00  0.0002
I(7+)       DHF        20.685167  4.716423E-01     26.889876      2.683985     12.358816      5.457980    -20.712542      2.076242      1.679303      9.925439      5.099343     0.0001  2.00  0.0000
I(1-)       DHF         3.588649     76.805332     20.458448      4.206773    289.873332  1.429196E-01      7.397428     26.903242   -300.000000  1.167202E-01     32.672641     0.0104  0.07  0.0032
Xe(2+)      DHF       300.000000  6.300534E-01     21.134658      3.634202      6.054697     18.362921      3.634845     34.822904   -284.212522  6.517002E-01      5.387144     0.0013  0.10  0.0006
Xe(4+)      DHF       300.000000  6.319299E-01      3.602180     25.043427      4.365857     13.503789     20.825806      3.634913   -284.197342  6.536477E-01      5.402774     0.0008  0.11  0.0004
Xe(6+)      DHF        20.075667      3.543851     25.510913  4.979307E-01      4.488203      8.836322     -9.978693  9.781932E-01      2.635786     17.638157      5.267862     0.0005  2.00  0.0002
Xe(8+)      DHF        20.941319  4.490219E-01     11.936184      5.048703      1.489697      8.906043    -13.022373      1.754309     19.574567      2.698654      5.080586     0.0001  2.00  0.0000
Cs(1+)      DHF       -40.190352  7.074413E-01     55.141614  5.611267E-01      3.159383     40.624374      8.624832     20.268794     21.854705      3.260619      5.408934     0.0010  0.09  0.0003
Ba(2+)      DHF        24.493274      2.821126     21.465054  4.013595E-01      2.540001     33.888096      9.630249     18.080001     -9.087347      1.265068      4.958608     0.0004  0.67  0.0002
La(2+)      DHF        21.613385  3.829556E-01     26.020694      2.554471     11.162099     17.574043      2.045257     45.934444    -10.797237      1.229801      4.953398     0.0026  0.09  0.0006
La(3+)      DHF        10.600986     16.113839      1.977582     29.273523     19.915393  3.467648E-01    205.320762      2.100354   -188.399766      2.010199      4.585139     0.0009  2.00  0.0003
Ce(2+)      DHF       300.000000  5.379468E-01     10.165536     15.595115      3.168428     30.482633     23.282787      2.654051   -286.035075  5.600035E-01      5.417533     0.0008  0.10  0.0002
Ce(3+)      DHF        20.220133  3.359692E-01     31.946537      2.314173      2.462588     27.069471     10.613945     14.964267    -14.867537      1.489689      4.624277     0.0005  2.00  0.0002
Ce(4+)      DHF       300.000000      1.865984     20.421926  3.449026E-01   -284.060996      1.804421     11.836041     14.743589      1.025299     28.439809      4.778195     0.0012  0.71  0.0005
Pr(2+)      DHF       300.000000  5.024807E-01     23.615249      2.553798     10.230211     14.439445      3.625739     28.503111   -285.779143  5.225201E-01      5.306813     0.0012  0.11  0.0004
Pr(3+)      DHF        26.538965      2.339835      2.892187     25.352256     10.633532     13.966510     21.163557  3.366418E-01    -10.007050      1.126685      4.778606     0.0002  0.11  0.0001
Pr(4+)      DHF        11.627264     13.641778     20.052883  3.165769E-01      1.702955     24.626303   -282.961104      1.766383    300.000000      1.823711      4.578214     0.0006  0.74  0.0003
Nd(2+)      DHF       115.172347 -8.693916E-02      3.627217     27.633221     10.582008     13.782332     22.949997      2.533863   -300.000000 -4.437393E-02    205.667391     0.0018  2.00  0.0005
Nd(3+)      DHF        24.739922      2.327441     28.126606  3.811318E-01      3.265221     23.955922     10.673416     13.093583    -14.992744  7.232393E-01      5.187244     0.0004  0.11  0.0001
Pm(3+)      DHF       250.963392  4.598626E-01     24.667669      2.270665     10.647374     12.239393      3.712637     22.597559   -237.284489  4.828488E-01      5.292879     0.0006  0.12  0.0002
Sm(2+)      DHF        23.746875  1.387142E-01     23.901698      2.360849     10.758208     12.076104      4.322294     24.805620  1.941649E-03     -1.103244     -2.732687     0.0018  0.11  0.0007
Sm(3+)      DHF        10.925578     11.723922    222.615824 -1.016139E-01     23.875457      2.265355   -300.000000 -8.473642E-02      3.725885     21.964743     97.856763     0.0011  2.00  0.0003
Eu(2+)      DHF        24.431402      2.281117     10.891774     11.374253     21.673726  1.499755E-01      4.593014     23.696128  7.624224E-06     -2.142363 -5.918844E-01     0.0021  0.12  0.0008
Eu(3+)      DHF        46.416571  6.257072E-02     10.894369     10.983486      4.164377     20.807247     24.381737      2.191765  2.347984E-01 -4.288948E-01    -26.092594     0.0008  0.12  0.0003
Gd(1+)      DHF         3.526653     25.077882     11.863426     10.960844     20.960840  1.483370E-01      1.793396     93.181162     24.814311      2.162211  3.962960E-02     0.0051  2.00  0.0011
Gd(2+)      DHF        24.875152      2.163907     21.033823  1.474121E-01     11.096229     10.860010  5.303122E-01     61.316677      4.508321     22.929669 -4.386499E-02     0.0055  2.00  0.0009
Gd(3+)      DHF         4.444894     19.937764     24.280312  1.190446E-01     24.840168      2.129029     10.978950     10.383671  4.335276E-04     -1.326846     -3.545666     0.0010  0.13  0.0004
Tb(1+)      DHF        10.415634      9.649775      5.590560     19.547363     20.664074  1.470052E-01      1.448469    101.457994     25.481051      2.112645  3.982530E-01     0.0029  2.00  0.0008
Tb(3+)      DHF        25.391301      2.062412     11.059372      9.812791      4.739014     19.113631     22.157370  1.292498E-01  5.565879E-07     -2.630359     -1.348167     0.0012  0.13  0.0005
Tb(4+)      DHF        11.347814      9.591249      4.072939     17.446447     40.690920  6.126973E-02     25.294103      1.980497  4.365613E-02 -6.072556E-01    -20.449903     0.0005  0.13  0.0002
Dy(2+)      DHF         8.442487      8.364778     20.863685  1.376674E-01      7.617678     16.083391  9.325002E-01     31.388854     26.044686      2.025942  9.894615E-02     0.0022  2.00  0.0003
Dy(3+)      DHF        25.925233      1.992181  1.883744E-01     34.730808     21.255858  1.316451E-01     10.054734      8.923288      5.997129     16.690761 -4.212323E-01     0.0027  2.00  0.0004
Ho(3+)      DHF        21.331092  1.249519E-01      9.076590      8.046664     26.488777      1.915759      7.091502     14.769148  5.784707E-01     27.280659 -5.663777E-01     0.0018  2.00  0.0002
Er(3+)      DHF        21.392523  1.188002E-01      8.136365      7.226154      1.068531     23.886934      8.067984     13.207449     27.031196      1.842642 -6.965968E-01     0.0012  2.00  0.0002
Tm(2+)      DHF        27.611279      1.797075      7.459812      6.322698      1.771774     25.633663      9.410589     12.770403     20.994896  1.184604E-01 -2.486118E-01     0.0005  2.00  0.0001
Tm(3+)      DHF        27.555649      1.772973     21.431650  1.132183E-01      7.480010      6.518478      1.477246     22.037660      8.857415     12.080096 -8.020178E-01     0.0007  2.00  0.0001
Yb(2+)      DHF        28.127857      1.730052     20.934032  1.138149E-01      7.548967      5.887773      9.725065     12.151765      1.908084     24.682692 -2.443301E-01     0.0003  0.11  0.0002
Yb(3+)      DHF        21.433744  1.082764E-01     28.068157      1.706952      1.768505     20.855098      7.160623      5.944144      9.434819     11.276037 -8.659417E-01     0.0004  2.00  0.0001
Lu(3+)      DHF         7.108522      5.490353      9.837631     10.679517     28.575308      1.644720      1.965707     20.005943     21.379688  1.040625E-01 -8.669869E-01     0.0002  2.00  0.0001
Hf(2+)      DHF        29.551063      1.599380      7.684143     14.267623     10.658516      6.485940      1.522986     43.279529     20.033265  1.103692E-01  5.485213E-01     0.0016  0.09  0.0007
Hf(3+)      DHF        20.934821  1.022459E-01     29.350506      1.582742      9.464933      6.013649      1.134091     31.556393      8.595891     12.215897 -4.808708E-01     0.0007  0.10  0.0003
Hf(4+)      DHF        29.037273      1.564206      1.816252     17.250299      7.017308      5.261131     21.893912  9.485857E-02      9.795102      9.679819     -1.559910     0.0002  2.00  0.0000
Ta(2+)      DHF        30.123418      1.527392     10.992138      6.389628     20.004333  1.044773E-01      1.882372     40.271285      7.555480     14.277348  4.408198E-01     0.0016  0.09  0.0007
Ta(3+)      DHF        29.961931      1.512711     21.015599  9.613275E-02     10.042332      6.000927      1.540534     31.223317      8.138991     12.346922 -7.000615E-01     0.0007  0.10  0.0003
Ta(4+)      DHF        29.763114      1.500675      8.692243     10.837340      9.162421      5.657688     21.781217  9.069330E-02      1.153009     24.644540     -1.552302     0.0003  0.11  0.0001
Ta(5+)      DHF        29.486594      1.487493      7.232001      5.125478      9.550999      8.933291      1.581837     15.321335     22.555743  8.579403E-02     -2.407204     0.0001  2.00  0.0000
W(1+)       DHF        18.101687  1.175614E-01     30.587593      1.476149     13.077119      6.768528      2.651988     57.447811      6.100499     17.649895      2.477543     0.0039  0.08  0.0015
W(2+)       DHF        20.113616  9.764423E-02     30.672910      1.456734     11.218655      6.294912      2.131794     37.575414      7.691610     14.213688  1.701033E-01     0.0014  0.09  0.0006
W(3+)       DHF        30.543284      1.443707     10.427524      5.961483      8.024034     12.413968      1.852069     29.942229     21.280458  8.906699E-02     -1.128020     0.0007  0.10  0.0003
W(4+)       DHF        22.166706  8.354317E-02      9.781570      5.677590      8.277296     11.024315      1.499130     24.716896     30.375570      1.433205     -2.100596     0.0003  0.11  0.0002
W(5+)       DHF        22.836507  7.982110E-02     30.170947      1.423949      9.197117      5.418440      8.519673      9.846547      1.105819     20.472665     -2.830207     0.0002  0.12  0.0001
W(6+)       DHF        23.454944  7.667431E-02     29.909775      1.414178      9.007749      8.386149      1.280982     13.920619      7.847235      5.052446     -3.500697     0.0001  2.00  0.0000
Re(1+)      DHF        31.058814      1.406554     13.233074      6.635551      2.659849     53.941467     17.917140  1.122111E-01      6.619454     17.483270      2.508348     0.0036  0.08  0.0014
Re(2+)      DHF         7.987520     14.064444     11.429210      6.214860     31.201752      1.387368      2.289364     35.261957     20.472373  8.940984E-02 -3.813795E-01     0.0013  0.10  0.0005
Re(3+)      DHF        31.099806      1.375928     10.747169      5.923940      2.058169     28.607493     21.858992  8.071476E-02      8.133952     12.417940     -1.898680     0.0006  0.11  0.0003
Re(4+)      DHF        22.923980  7.515178E-02     10.235935      5.676419      1.752947     24.068652      8.178425     11.137599     30.957206      1.366766     -3.048801     0.0003  0.11  0.0002
Re(5+)      DHF        30.777809      1.358812     23.718564  7.149485E-02      1.390662     20.658125      9.868636      5.457046      8.144975     10.072757     -3.900801     0.0002  0.12  0.0001
Re(6+)      DHF        24.292705  6.907879E-02     30.561154      1.351460  9.921297E-01     17.713805      9.597757      5.253699      8.070268      9.128667     -4.514081     0.0001  0.13  0.0000
Re(7+)      DHF         8.960149      5.010017      8.084113      8.028804     24.743889  6.730216E-02  9.078477E-01     12.978012     30.299001      1.343969     -4.995000     0.0001  2.00  0.0000
Os(1+)      DHF        31.512441      1.338055     13.457918      6.523864      7.169999     17.140646      2.623448     51.066701     17.892575  1.051373E-01      2.340530     0.0034  0.08  0.0013
Os(2+)      DHF        21.317935  7.908311E-02     11.703265      6.154150      2.371712     33.284302      8.352420     13.855889     31.714117      1.319133     -1.460454     0.0011  0.10  0.0005
Os(3+)      DHF        31.635611      1.309223     23.064575  7.040585E-02      2.170363     27.381783     11.099829      5.898848      8.363478     12.367723     -3.334372     0.0006  0.11  0.0002
Os(4+)      DHF         1.899080     23.328701      8.258862     11.201359     31.514180      1.301377     10.678537      5.679621     24.407530  6.496865E-02     -4.758462     0.0003  0.11  0.0001
Os(5+)      DHF        10.424903      5.483089      8.048278     10.232649     31.355296      1.294632      1.575379     20.324834     25.391912  6.150332E-02     -5.795911     0.0002  0.12  0.0001
Os(6+)      DHF        26.069617  5.933547E-02     31.159850      1.288468      7.738003      9.391631     10.330721      5.301472      1.209674     17.943631     -6.507933     0.0001  0.12  0.0000
Os(7+)      DHF        26.493389  5.806897E-02     30.926392      1.282557     10.383468      5.129282  8.113590E-01     15.843637      7.337991      8.629124     -6.952625     0.0001  2.00  0.0000
Os(8+)      DHF        26.716790  5.744193E-02     10.465643      4.954290  4.921518E-01     12.586834      6.861217      7.840607     30.651306      1.276636     -7.187103     0.0001  2.00  0.0000
Ir(1+)      DHF        13.797731      6.429501      7.694802     16.718493     18.163192  9.557184E-02      2.557851     48.657389     31.956461      1.270501      1.827090     0.0031  0.09  0.0012
Ir(2+)      DHF        23.243669  6.566569E-02     32.217425      1.251815      2.391680     31.591341     12.097823      6.109790      8.721528     13.619847     -3.672979     0.0009  0.10  0.0004
Ir(3+)      DHF        32.157417      1.243373     11.561244      5.886991      2.201037     26.301306     25.719062  5.715919E-02      8.629793     12.285556     -6.268986     0.0005  0.11  0.0002
Ir(4+)      DHF        27.603460  5.205678E-02     11.211169      5.693099      8.414695     11.234078      1.944858     22.640942     32.052712      1.236819     -8.227121     0.0002  0.11  0.0001
Ir(5+)      DHF        31.910334      1.231281     11.031798      5.514865      8.082945     10.359867      1.643775     19.931030     28.916171  4.901852E-02     -9.585141     0.0001  0.12  0.0001
Ir(6+)      DHF        31.732124      1.226286     11.016190      5.344512      1.310693     17.823538      7.636322      9.603888     29.723880  4.732637E-02    -10.419266     0.0001  2.00  0.0000
Pt(2+)      DHF        12.645786      6.073946     28.218265  4.777120E-02     32.723242      1.185247      2.359561     30.139712      9.054631     13.379180     -9.002196     0.0008  0.10  0.0003
Pt(4+)      DHF        32.582816      1.172875     11.899144      5.712998     36.289013  3.506811E-02      1.900098     22.055466      8.574959     11.255243    -17.246204     0.0002  0.11  0.0001
Pt(5+)      DHF        32.452141      1.168517     11.782233      5.552319      1.601241     19.601552     38.446486  3.274765E-02      8.155350     10.475700    -19.437536     0.0001  2.00  0.0000
Pt(6+)      DHF        11.810367      5.391714      7.625460      9.800336     39.356752  3.186117E-02      1.282981     17.707331     32.286777      1.164692    -20.362374     0.0001  2.00  0.0000
Au(1+)      DHF        33.213690      1.128344     31.930643  3.853321E-02      2.405568     35.673582     13.978675      6.238465      9.433401     14.576444    -12.963274     0.0014  0.10  0.0005
Au(2+)      DHF         2.284973     28.892118     33.245338      1.119401     13.356561      6.036835     48.796791  2.355622E-02      9.332621     13.144824    -30.016865     0.0006  0.10  0.0002
Au(3+)      DHF        33.204808      1.113615     69.910590  1.586899E-02     12.969635      5.875022      9.080248     12.098999      2.062118     24.587757    -51.227669     0.0003  0.11  0.0001
Au(5+)      DHF        32.993414      1.106185     12.713890      5.586481     99.558036  1.088389E-02      1.460601     19.395295      8.217308     10.591862    -80.943299     0.0002  2.00  0.0000
Hg(1+)      DHF        33.374000      1.072278      8.916127     15.367889     15.626257      6.166716      2.277674     43.254481     30.086939  3.867833E-02    -11.283313     0.0025  0.09  0.0009
Hg(2+)      DHF        14.219759      5.989713      9.552722     12.918448      2.177712     27.815728     33.795752      1.054448    -99.009775 -9.426298E-03    117.263366     0.0005  0.10  0.0002
Tl(1+)      DHF        33.533455      1.014717     16.603247      5.907337      8.529572     15.310556      2.803463     43.149880     34.159837  3.093854E-02    -15.632137     0.0028  0.09  0.0010
Tl(3+)      DHF        15.010475      5.816353     34.335589  9.870877E-01      1.739681     23.415850      9.338803     11.911981    -11.291503 -6.083260E-02     28.866827     0.0005  2.00  0.0001
Pb(2+)      DHF        16.883598      5.546469     34.137041  9.440616E-01      8.473727     13.579632      2.852725     33.992498    -22.464781 -3.249246E-02     40.116357     0.0014  0.10  0.0005
Pb(4+)      DHF        16.236211      5.666461     34.843301  9.243838E-01      8.881239     11.291086      1.135484     21.045021     -3.922780 -1.215393E-01     20.826561     0.0007  2.00  0.0001
Bi(3+)      DHF        34.647083  8.815738E-01     17.320088      5.239221      8.320735     12.347387      2.823488     28.172127     -4.978310 -9.833988E-02     21.866186     0.0008  0.11  0.0003
Bi(5+)      DHF        35.310896  8.657392E-01      8.239710     10.847412     -1.534797 -1.974618E-01  5.288763E-01     20.440338     17.678248      5.505433     17.777140     0.0009  2.00  0.0002
Po(2+)      DHF        34.316558  8.462152E-01     19.867682      5.180546      3.809843     39.631104      6.876811     15.120483    -17.130281 -3.506375E-02     34.256706     0.0029  0.09  0.0011
Po(4+)      DHF        17.842923      4.962589      8.136041     11.410540     35.078679  8.253593E-01      2.733594     24.109165     -1.824046 -1.711141E-01     18.032406     0.0004  0.11  0.0002
Po(6+)      DHF        19.099972      5.317676      7.410555     10.383331  1.578472E-01     22.087917 -5.745036E-01 -2.961769E-01     35.719276  8.111208E-01     16.186941     0.0010  2.00  0.0002
At(1+)      DHF        15.196351  5.670269E-02     33.562207  8.159130E-01     21.146600      4.961383      4.634774     45.732327      6.930554     18.259653      2.525519     0.0044  0.09  0.0017
At(3+)      DHF        34.961796  7.844772E-01      6.729064     13.836592     20.255425      4.826248      3.949621     32.147215     -2.201737 -1.430255E-01     18.304280     0.0017  0.10  0.0007
At(5+)      DHF        35.431413  7.745418E-01      7.969202     10.660881     18.398088      4.705973      2.591210     21.106725 -7.317008E-01 -2.542853E-01     16.341570     0.0004  2.00  0.0001
At(7+)      DHF        36.045176  7.607535E-01      6.509594      9.823951     20.370266      5.105318  3.134704E-02     27.697333 -1.875324E-01 -4.285907E-01     15.231227     0.0011  2.00  0.0002
At(1-)      DHF        19.980134  4.782341E-01     21.306314      5.308578      3.922843     83.289607      8.434535     25.853106     19.622765      1.079922     12.718750     0.0156  0.07  0.0050
Fr(1+)      DHF        22.116314      4.245530     34.910223  6.963026E-01      4.815563     41.103718      8.737688     18.970139     -1.461545 -1.495970E-01     16.879130     0.0029  0.09  0.0011
Ra(2+)      DHF        35.568779  6.357563E-01     22.394750      3.891981      4.514677     33.959933      9.384394     17.497159 -2.698267E-02 -6.345267E-01     14.163186     0.0013  0.10  0.0005
Ac(3+)      DHF        35.536465  5.931494E-01     22.618304      3.594003     10.502312     16.465904      3.691972     29.752106 -2.943302E-04     -1.428700     13.650874     0.0008  2.00  0.0003
Th(2+)      DHF        10.072985     21.442874      1.698956     59.200726     22.530892      3.376223     35.501336  5.597195E-01      4.825466     11.043219     13.368861     0.0114  2.00  0.0017
Th(3+)      DHF         3.848620     29.168574     35.598824  5.673057E-01     22.667096      3.435358     11.373120     15.497475 -4.160262E-05     -1.779904     13.511656     0.0008  0.10  0.0003
Th(4+)      DHF         2.384575     27.852918     12.069276     15.648446     35.358901  5.599600E-01     22.779702      3.340170 -1.934954E-07     -2.972507     13.407751     0.0012  2.00  0.0005
Pa(3+)      DHF        35.683114  5.442288E-01     22.691137      3.301283     11.985308     14.473852      4.237252     27.799888 -5.668532E-06     -2.144610     13.402230     0.0010  0.11  0.0004
Pa(4+)      DHF        35.451276  5.379927E-01     22.766079      3.212931     12.471466     14.520590      2.995157     25.985993 -2.254378E-09     -3.936900     13.316060     0.0009  1.27  0.0004
Pa(5+)      DHF       300.000000     11.152193     23.190950      3.145690      4.224958     21.775667     35.205123  5.323121E-01   -289.867729     11.062622     13.246596     0.0059  2.00  0.0006
U(3+)       DHF        35.785130  5.231896E-01     22.715091      3.186770     12.525287     13.515918      4.662800     26.356061 -8.444720E-07     -2.488067     13.310516     0.0013  0.11  0.0004
U(4+)       DHF         3.612101     24.321936     22.755507      3.103802     35.563224  5.177916E-01     12.832735     13.488251 -3.795368E-12     -5.372560     13.236295     0.0008  1.31  0.0004
U(5+)       DHF        35.356076  5.137603E-01     23.334756      3.058655     14.487726     11.621605      4.705751     20.678253     -4.075314      8.091453     13.190763     0.0037  2.00  0.0004
U(6+)       DHF        24.131631      3.021737     35.136667  5.102760E-01     19.339745     10.077603      5.555979     18.316020    -11.324720      7.858846     13.160473     0.0032  2.00  0.0004
Np(3+)      DHF        22.602680      3.059478     35.855743  5.015370E-01      7.353927     20.210903     10.271471     11.524659  7.294455E-01     36.491949     13.186723     0.0030  2.00  0.0003
Np(4+)      DHF        13.191937     12.561134     22.758700      3.009003     35.687764  4.989684E-01      4.197010     22.894005 -6.571019E-17     -7.925034     13.164270     0.0007  1.35  0.0004
Np(5+)      DHF        35.524095  4.963385E-01     24.369802      3.009729     13.029709     11.712640      4.448640     20.238479     -2.511289      4.957227     13.138775     0.0023  2.00  0.0003
Np(6+)      DHF        35.322020  4.933267E-01     25.556368      2.985752     13.150337     10.963004      4.614291     18.297792     -4.755697      5.104696     13.112482     0.0020  2.00  0.0003
Np(7+)      DHF        13.321589     10.265383     35.093820  4.899870E-01     27.118592      2.962926      4.856442     16.692223     -7.474290      5.037611     13.083686     0.0018  2.00  0.0002
Pu(3+)      DHF        11.341122     11.007534     22.661125      2.977381  5.184959E-01     37.787951      7.370912     20.071322     35.985120  4.838481E-01     13.123264     0.0015  2.00  0.0002
Pu(4+)      DHF        35.814082  4.810351E-01  1.589836E-02     68.544257     22.765153      2.922628      5.089922     21.114322     13.222381     11.615618     13.092632     0.0008  2.00  0.0003
Pu(5+)      DHF        35.699859  4.797686E-01     13.382132     11.160298      4.707016     19.452595    300.000000      3.208975   -277.877027      3.242924     13.087682     0.0013  2.00  0.0003
Pu(6+)      DHF         4.399341     17.921503     13.466646     10.745206     35.521677  4.773306E-01    300.000000      3.250747   -278.455245      3.298975     13.067383     0.0013  2.00  0.0002
Pu(7+)      DHF        13.586559     10.271668     35.305057  4.743369E-01     46.647603      3.086468      4.252789     16.561581    -25.833363      3.617401     13.041220     0.0011  2.00  0.0002
Am(2+)      DHF        22.656788      2.943138     11.153359     10.051926      1.074521     40.519337      8.797850     19.597743     36.237132  4.688360E-01     13.080207     0.0007  2.00  0.0002
Am(3+)      DHF        22.733667      2.901934     36.112392  4.668541E-01  4.847333E-01     37.212976      7.617112     19.392426     11.994194     10.408587     13.057962     0.0005  1.42  0.0002
Am(4+)      DHF        35.948333  4.642572E-01  3.125234E-02     56.078006     22.810478      2.848439      5.694084     19.908969     13.487525     10.854921     13.028410     0.0008  1.42  0.0003
Am(5+)      DHF        36.014882  4.658119E-01     25.959929      2.649272     13.861629     10.661548      4.872559     18.791171     -3.768607      1.921190     13.059229     0.0009  2.00  0.0002
Am(6+)      DHF        35.940110  4.650578E-01    300.000000      2.287324     14.176830     10.520619      4.025325     17.731679   -278.201384      2.256012     13.058989     0.0011  2.00  0.0002
Cm(3+)      DHF        22.830934      2.832652     36.236459  4.505110E-01      7.921618     18.582352  5.099200E-01     35.825113     12.510388      9.825946     12.990753     0.0006  1.46  0.0003
Cm(4+)      DHF        36.079854  4.481330E-01     22.883452      2.780707      6.281639     18.801138  5.706628E-02     47.296396     13.735447     10.163767     12.962632     0.0008  1.45  0.0003
Bk(3+)      DHF         8.226892     17.766670     22.959352      2.768832     36.356288  4.347677E-01  5.625363E-01     34.184603     12.973839      9.285615     12.921167     0.0009  2.00  0.0003
Bk(4+)      DHF        22.988079      2.718505     13.986949      9.542089     36.207235  4.326027E-01  9.555336E-02     41.086650      6.827579     17.795349     12.894700     0.0011  2.00  0.0003
Cf(2+)      DHF        23.121710      2.749996     13.038714      8.670108      9.237855     17.505951      1.148637     35.688227     36.584104  4.211746E-01     12.868896     0.0011  2.00  0.0003
Cf(3+)      DHF        13.416493      8.793221     36.471064  4.195809E-01  6.304562E-01     32.542341      8.510401     16.988116     23.122856      2.709741     12.848804     0.0012  2.00  0.0003
Cf(4+)      DHF        14.253095      8.985707      7.318349     16.886041     36.329483  4.176197E-01  1.476123E-01     36.561791     23.127401      2.661031     12.824158     0.0014  2.00  0.0003
Es(2+)      DHF        23.348364      2.694308     13.583816      8.269837      1.199509     34.221642      9.386963     16.836574     36.688804  4.063814E-01     12.792461     0.0013  2.00  0.0003
Es(3+)      DHF        13.850729      8.346942     36.580236  4.049177E-01  7.077464E-01     30.996448      8.764555     16.259517     23.323345      2.654678     12.773459     0.0014  2.00  0.0003
Fm(2+)      DHF        36.787653  3.920840E-01      9.519806     16.206873     14.110770      7.903372      1.254121     32.872903     23.615061      2.641993     12.712505     0.0015  2.00  0.0003
Fm(3+)      DHF        23.562990      2.603075     36.683626  3.907465E-01     14.283149      7.943752      8.985962     15.585467  7.896147E-01     29.586738     12.694722     0.0015  2.00  0.0003
